ID,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,SourceIP
3.0,22.0,6.0,1581669613.0,6453966.0,15.0,10.0,1239.0,2273.0,744.0,0.0,82.6,196.7412368715,976.0,0.0,227.3,371.6778922072,544.1615279659,3.8735871864999996,268915.25,247443.778966007,673900.0,22.0,6453966.0,460997.571428571,123109.42358775699,673900.0,229740.0,5637902.0,626433.555555556,455082.21422401,1167293.0,554.0,0.0,0.0,0.0,0.0,488.0,328.0,2.3241523119,1.5494348746000002,0.0,976.0,135.07692307690002,277.83475996740003,77192.1538461539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,140.48,82.6,227.3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1239.0,10.0,2273.0,65535.0,233.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.69.142.177
4.0,22.0,6.0,1581669623.0,8804066.0,14.0,11.0,1143.0,2209.0,744.0,0.0,81.6428571429,203.7455453568,976.0,0.0,200.8181818182,362.2498635422,380.73317487620005,2.8395970680000002,366836.08333333296,511356.6097327621,1928102.0,21.0,8804066.0,677235.846153846,532416.970958985,1928102.0,246924.0,7715481.0,771548.1,755543.0827169509,2174893.0,90.0,0.0,0.0,0.0,0.0,456.0,360.0,1.5901743581,1.2494227099,0.0,976.0,128.92307692309998,279.76303159310004,78267.3538461539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.08,81.6428571429,200.8181818182,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1143.0,11.0,2209.0,5808.0,233.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.141.73.59
5.0,22.0,6.0,1581669631.0,6989341.0,16.0,12.0,1239.0,2273.0,744.0,0.0,77.4375,190.83115355380002,976.0,0.0,189.4166666667,347.6425694023,502.4794183028,4.0061001459,258864.48148148105,291724.14791076,951098.0,20.0,6989341.0,465956.0666666671,244363.89641635105,951098.0,265831.0,5980598.0,543690.7272727271,460713.519752371,1254338.0,78.0,0.0,0.0,0.0,0.0,332.0,252.0,2.2892000834,1.7169000625,0.0,976.0,121.1034482759,265.7086676402,70601.0960591133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,125.42857142860001,77.4375,189.4166666667,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1239.0,12.0,2273.0,5808.0,234.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.243.202.60
8.0,80.0,6.0,1581670034.0,476513.0,5.0,3.0,211.0,463.0,211.0,0.0,42.2,94.36206865049999,463.0,0.0,154.3333333333,267.3131746348,1414.4419984345002,16.7886290615,68073.28571428571,115865.792656438,237711.0,24.0,476513.0,119128.25,137379.963358017,238470.0,108.0,238634.0,119317.0,167621.07669383302,237843.0,791.0,0.0,0.0,0.0,0.0,168.0,104.0,10.4928931635,6.295735898099999,0.0,463.0,74.8888888889,161.4058893322,26051.8611111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.25,42.2,154.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,211.0,3.0,463.0,14600.0,219.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.243.202.60
9.0,80.0,6.0,1581670035.0,475048.0,5.0,3.0,220.0,472.0,220.0,0.0,44.0,98.38699101,472.0,0.0,157.3333333333,272.5093270575,1456.6949024099,16.8404034961,67864.0,115746.93315447599,237494.0,15.0,475048.0,118762.0,137096.759626185,237853.0,15.0,237516.0,118758.0,167472.584269784,237179.0,337.0,0.0,0.0,0.0,0.0,168.0,104.0,10.525252185,6.315151311,0.0,472.0,76.8888888889,165.0669897681,27247.1111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.5,44.0,157.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,220.0,3.0,472.0,14600.0,219.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.64.7.18
10.0,80.0,6.0,1581670035.0,474926.0,5.0,3.0,220.0,472.0,220.0,0.0,44.0,98.38699101,472.0,0.0,157.3333333333,272.5093270575,1457.0691012916,16.8447294947,67846.57142857139,115645.74084224801,237162.0,15.0,474926.0,118731.5,136923.365842601,237497.0,15.0,237732.0,118866.0,167663.503100705,237422.0,310.0,0.0,0.0,0.0,0.0,168.0,104.0,10.5279559342,6.3167735605,0.0,472.0,76.8888888889,165.0669897681,27247.1111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.5,44.0,157.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,220.0,3.0,472.0,14480.0,219.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.243.202.60
11.0,80.0,6.0,1581670036.0,477471.0,5.0,3.0,209.0,461.0,209.0,0.0,41.8,93.4676414595,461.0,0.0,153.6666666667,266.15847409639997,1403.2265833945999,16.754944279300002,68210.1428571429,116178.228792989,238389.0,17.0,477471.0,119367.75,137516.508224467,238515.0,149.0,238887.0,119443.5,168454.755588852,238559.0,328.0,0.0,0.0,0.0,0.0,168.0,104.0,10.4718401746,6.2831041048000005,0.0,461.0,74.44444444439999,160.5942955954,25790.5277777778,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83.75,41.8,153.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,209.0,3.0,461.0,14480.0,219.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.69.142.177
12.0,80.0,6.0,1581670036.0,512758.0,5.0,3.0,211.0,463.0,211.0,0.0,42.2,94.36206865049999,463.0,0.0,154.3333333333,267.3131746348,1314.4602327024002,15.6019018718,73251.1428571429,124959.47374039401,256188.0,10.0,512758.0,128189.5,148006.106082373,256523.0,10.0,256563.0,128281.5,180935.190276795,256222.0,341.0,0.0,0.0,0.0,0.0,168.0,104.0,9.7511886699,5.8507132019000005,0.0,463.0,74.8888888889,161.4058893322,26051.8611111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.25,42.2,154.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,211.0,3.0,463.0,14480.0,219.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.243.202.60
13.0,80.0,6.0,1581670037.0,476711.0,5.0,3.0,206.0,458.0,206.0,0.0,41.2,92.126000673,458.0,0.0,152.6666666667,264.42642328880004,1392.8774456641,16.7816559719,68101.57142857139,115977.215079597,238034.0,16.0,476711.0,119177.75,137207.36560009,238274.0,78.0,238033.0,119016.5,168007.86410314302,237816.0,217.0,0.0,0.0,0.0,0.0,168.0,104.0,10.488534982400001,6.2931209894,0.0,458.0,73.7777777778,159.3783060659,25401.444444444398,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,41.2,152.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,206.0,3.0,458.0,14480.0,219.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.69.142.177
14.0,80.0,6.0,1581670037.0,476616.0,5.0,3.0,211.0,463.0,211.0,0.0,42.2,94.36206865049999,463.0,0.0,154.3333333333,267.3131746348,1414.1363277775,16.7850009232,68088.0,115553.073301117,237285.0,8.0,476616.0,119154.0,136576.97294200098,237558.0,8.0,237660.0,118830.0,167563.093937776,237315.0,345.0,0.0,0.0,0.0,0.0,168.0,104.0,10.490625577000001,6.2943753462,0.0,463.0,74.8888888889,161.4058893322,26051.8611111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.25,42.2,154.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,211.0,3.0,463.0,14480.0,219.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.243.202.60
